Jahr,Geschlecht,Altersgruppe,Bevölkerung
2014,M,A00-A04,1788000
2014,M,A05-A14,3695000
2014,M,A15-A34,9681000
2014,M,A35-A59,14786000
2014,M,A60-A79,8300000
2014,M,A80+,1584000
2014,W,A00-A04,1699000
2014,W,A05-A14,3506000
2014,W,A15-A34,9213000
2014,W,A35-A59,14590000
2014,W,A60-A79,9397000
2014,W,A80+,2941000
2015,M,A00-A04,1857000
2015,M,A05-A14,3737000
2015,M,A15-A34,10034000
2015,M,A35-A59,14851000
2015,M,A60-A79,8345000
2015,M,A80+,1685000
2015,W,A00-A04,1757000
2015,W,A05-A14,3530000
2015,W,A15-A34,9299000
2015,W,A35-A59,14607000
2015,W,A60-A79,9426000
2015,W,A80+,3029000
2016,M,A00-A04,1930000
2016,M,A05-A14,3751000
2016,M,A15-A34,10046000
2016,M,A35-A59,14780000
2016,M,A60-A79,8394000
2016,M,A80+,1793000
2016,W,A00-A04,1827000
2016,W,A05-A14,3540000
2016,W,A15-A34,9287000
2016,W,A35-A59,14566000
2016,W,A60-A79,9454000
2016,W,A80+,3133000
2017,M,A00-A04,1975000
2017,M,A05-A14,3768000
2017,M,A15-A34,10010000
2017,M,A35-A59,14737000
2017,M,A60-A79,8450000
2017,M,A80+,1903000
2017,W,A00-A04,1873000
2017,W,A05-A14,3558000
2017,W,A15-A34,9261000
2017,W,A35-A59,14527000
2017,W,A60-A79,9482000
2017,W,A80+,3233000
2018,M,A00-A04,2014000
2018,M,A05-A14,3787000
2018,M,A15-A34,9978000
2018,M,A35-A59,14671000
2018,M,A60-A79,8490000
2018,M,A80+,2022000
2018,W,A00-A04,1913000
2018,W,A05-A14,3577000
2018,W,A15-A34,9235000
2018,W,A35-A59,14462000
2018,W,A60-A79,9498000
2018,W,A80+,3352000
2019,M,A00-A04,2031000
2019,M,A05-A14,3791000
2019,M,A15-A34,9933000
2019,M,A35-A59,14596000
2019,M,A60-A79,8557000
2019,M,A80+,2150000
2019,W,A00-A04,1937000
2019,W,A05-A14,3594000
2019,W,A15-A34,9210000
2019,W,A35-A59,14364000
2019,W,A60-A79,9523000
2019,W,A80+,3496000
2020,M,A00-A04,1633000
2020,M,A05-A14,3825000
2020,M,A15-A34,9872000
2020,M,A35-A59,14504000
2020,M,A60-A79,8633000
2020,M,A80+,2275000
2020,W,A00-A04,1558000
2020,W,A05-A14,3629000
2020,W,A15-A34,9163000
2020,W,A35-A59,14254000
2020,W,A60-A79,9564000
2020,W,A80+,3635000
